disease_id,disease_name_en,disease_name_kn,disease_name_te,disease_name_hi,symptoms_en,symptoms_kn,symptoms_te,symptoms_hi,prevention_en,prevention_kn,prevention_te,prevention_hi
11,Hepatitis,ಹೈಪಟೈಟಿಸ್,హెపటైటిస్,हेपेटाइटिस,"Yellow eyes, dark urine, abdominal pain, fever","ಹಳದಿ ಕಣ್ಣುಗಳು, ಕಡು ಬಣ್ಣದ ಮೂತ್ರ, ಹೊಟ್ಟೆ ನೋವು, ಜ್ವರ","పసుపు రంగు కళ్ళు, ముదురు రంగు మూత్రం, కడుపు నొప్పి, జ్వరం","पीली आंखें, गहरा पेशाब, पेट दर्द, बुखार","Vaccination, avoid sharing needles, safe food and water","ಲಸಿಕೆ ಪಡೆಯಿರಿ, ಸೂಜಿ ಹಂಚಿಕೊಳ್ಳಬೇಡಿ, ಸುರಕ್ಷಿತ ಆಹಾರ ಮತ್ತು ನೀರು","టీకా వేయించుకోండి, సూదులను పంచుకోవద్దు, సురಕ್ಷితమైన ఆహారం మరియు నీరు","टीकाकरण, सुइयां साझा न करें, सुरक्षित भोजन और पानी"
12,Chickenpox,ಚಿಕನ್ ಫಾಕ್ಸ್,చికెన్ పాక్స్,चेचक (छोटी माता),"Itchy red blisters, fever, tiredness, headache","ತುರಿಕೆ ಇರುವ ಕೆಂಪು ಗುಳ್ಳೆಗಳು, ಜ್ವರ, ಆಯಾಸ, ತಲೆನೋವು","దురదతో కూడిన ఎర్రటి బొబ్బలు, జ్వరం, అలసట, తలనొప్పి","खुजली वाले लाल छाले, बुखार, थकान, सिरदर्द","Varicella vaccine, hygiene, isolation of patients","ವೇರಿಸೆಲ್ಲಾ ಲಸಿಕೆ ಪಡೆಯಿರಿ, ನೈರ್ಮಲ್ಯ ಕಾಪಾಡಿ, ರೋಗಿಗಳ ಪ್ರತ್ಯೇಕತೆ","వరిసెల్లా టీకా, పరిశుభ్రత, రోగులను వేరుగా ఉంచడం","वैरिसेला वैक्सीन, स्वच्छता, रोगियों को अलग रखना"
13,Measles,ದಡಾರ,తట్టు,खसरा,"High fever, cough, red eyes, small white spots inside mouth","ಹೆಚ್ಚಿನ ಜ್ವರ, ಕೆಮ್ಮು, ಕೆಂಪು ಕಣ್ಣುಗಳು, ಬಾಯಿಯೊಳಗೆ ಸಣ್ಣ ಬಿಳಿ ಚುಕ್ಕೆಗಳು","అధిక జ్వరం, దగ్గు, ఎర్రటి కళ్ళు, నోటి లోపల చిన్న తెల్లటి మచ్చలు","तेज बुखार, खांसी, लाल आंखें, मुंह के अंदर सफेद धब्बे","MMR vaccination, isolation, vitamin A supplements","MMR ಲಸಿಕೆ ಪಡೆಯಿರಿ, ಪ್ರತ್ಯೇಕತೆ, ವಿಟಮಿನ್ ಎ ಪೂರಕಗಳು","MMR టీకా, వేరుగా ఉంచడం, విటమిన్ ఎ సప్లిమెంట్స్","एमएमआर टीकाकरण, अलगाव, विटामिन ए सप्लीमेंट"
14,Pneumonia,ನ್ಯುಮೋನಿಯಾ,న్యుమోనియా,निमोनिया,"Cough with phlegm, fever, sweating, shallow breathing","ಕಫದೊಂದಿಗೆ ಕೆಮ್ಮು, ಜ್ವರ, ಬೆವರುವುದು, ಆಳವಿಲ್ಲದ ಉಸಿರಾಟ","కఫంతో కూడిన దగ్గు, జ్వరం, చెమటలు పట్టడం, ఊపిరి ఆడకపోవడం","कफ वाली खांसी, बुखार, पसीना आना, उथली सांसें","Vaccines, hand hygiene, no smoking","ಲಸಿಕೆಗಳು, ಕೈಗಳ ನೈರ್ಮಲ್ಯ, ಧೂಮಪಾನ ಮಾಡಬೇಡಿ","టీకాలు, చేతుల పరిశుభ్రత, ధూమపానం చేయవద్దు","टीके, हाथ की स्वच्छता, धूम्रपान न करें"
15,Jaundice,ಕಾಮಾಲೆ,కామెర్లు,पीलिया,"Yellowing of skin and eyes, pale stools, itchiness","ಚರ್ಮ ಮತ್ತು ಕಣ್ಣುಗಳು ಹಳದಿ ಬಣ್ಣಕ್ಕೆ ತಿರುಗುವುದು, ಬಿಳಿ ಬಣ್ಣದ ಮಲ, ತುರಿಕೆ","చర్మం మరియు కళ్ళు పసుపు రంగులోకి మారడం, తెల్లటి విరేచనాలు, దురద","त्वचा और आंखों का पीला होना, हल्का मल, खुजली","Drink clean water, avoid alcohol, eat balanced diet","ಶುದ್ಧ ನೀರು ಕುಡಿಯಿರಿ, ಮದ್ಯಪಾನ ತಪ್ಪಿಸಿ, ಸಮತೋಲಿತ ಆಹಾರ ಸೇವಿಸಿ","శుభ్రమైన నీటిని తాగండి, మద్యం మానేయండి, సమతుల్య ఆహారం తీసుకోండి","साफ पानी पिएं, शराब से बचें, संतुलित आहार लें"
16,Food Poisoning,ಆಹಾರ ವಿಷಾಹಾರ,ఆహార కాలుష్యం,फूड पॉइजनिंग,"Nausea, vomiting, stomach cramps, diarrhea","ವಾಕರಿಕೆ, ವಾಂತಿ, ಹೊಟ್ಟೆ ಸೆಳೆತ, ಅತಿಸಾರ","వికారం, వాంతులు, కడుపు తిమ్మిర్లు, విరేచనాలు","मतली, उल्टी, पेट में मरोड़, दस्त","Wash food before cooking, avoid street food, store safely","ಅಡುಗೆ ಮಾಡುವ ಮೊದಲು ಆಹಾರ ತೊಳೆಯಿರಿ, ರಸ್ತೆ ಬದಿಯ ಆಹಾರ ತಪ್ಪಿಸಿ, ಸುರಕ್ಷಿತವಾಗಿ ಸಂಗ್ರಹಿಸಿ","వండే ముందు ఆహారాన్ని కడగండి, వీధి ఆహారానికి దూరంగా ఉండండి, సురక్షితంగా నిల్వ చేయండి","पकाने से पहले भोजन धोएं, स्ट्रीट फूड से बचें, सुरक्षित रूप से स्टोर करें"
17,Anemia,ಅನಿಮಿಯಾ,రక్తహీనత,अनीमिया,"Fatigue, pale skin, cold hands and feet, dizziness","ಆಯಾಸ, ಬಿಳಿಚಿಕೊಂಡ ಚರ್ಮ, ತಣ್ಣಗಾದ ಕೈ ಕಾಲುಗಳು, ತಲೆಸುತ್ತು","అలసట, పాలిపోయిన చర్మం, చేతులు మరియు కాళ్లు చల్లగా ఉండటం, కళ్ళు తిరగడం","थकान, पीली त्वचा, हाथ-पैर ठंडे होना, चक्कर आना","Iron rich diet, vitamin C, iron supplements","ಕಬ್ಬಿಣಾಂಶಯುಕ್ತ ಆಹಾರ, ವಿಟಮಿನ್ ಸಿ, ಕಬ್ಬಿಣದ ಪೂರಕಗಳು","ఐరన్ అధికంగా ఉండే ఆహారం, విటమిన్ సి, ఐరన్ సప్లిమెంట్స్","आयरन युक्त आहार, विटामिन सी, आयरन सप्लीमेंट"
18,Arthritis,ಸಂಧಿವಾತ,కీళ్ల వాతము,गठिया,"Joint pain, stiffness, swelling, redness in joints","ಕೀಲು ನೋವು, ಬಿಗಿತ, ಬಾವು, ಕೀಲುಗಳಲ್ಲಿ ಕೆಂಪು ಬಣ್ಣ","కీళ్ల నొప్పులు, బిగుతు, వాపు, కీళ్లలో ఎరుపు","जोड़ों में दर्द, जकड़न, सूजन, जोड़ों में लालिमा","Healthy weight, low impact exercise, protective gear","ಆರೋಗ್ಯಕರ ತೂಕ, ಕಡಿಮೆ ಪ್ರಭಾವದ ವ್ಯಾಯಾಮ, ರಕ್ಷಣಾ ಸಾಧನಗಳು","ఆరోగ్యకరమైన బరువు, తక్కువ ప్రభావం చూపే వ్యాయామం, రక్షణ పరికరాలు","स्वस्थ वजन, कम प्रभाव वाला व्यायाम, सुरक्षात्मक गियर"
19,Migraine,ಮೈಗ್ರೇನ್,మైగ్రేన్,माइग्रेन,"Severe throbbing pain, nausea, sensitivity to light","ತೀವ್ರ ಬಡಿತದಂತಹ ನೋವು, ವಾಕರಿಕೆ, ಬೆಳಕಿಗೆ ಸಂವೇದನೆ","తీవ్రమైన తలనొప్పి, వికారం, వెలుతురును తట్టుకోలేకపోవడం","तेज धड़कता हुआ दर्द, मतली, रोशनी के प्रति संवेदनशीलता","Avoid triggers, stay hydrated, maintain sleep routine","ಪ್ರೇರಕಗಳನ್ನು ತಪ್ಪಿಸಿ, ಹೈಡ್ರೀಕರಿಸಲ್ಪಟ್ಟಿರಲಿ, ನಿದ್ರೆಯ ಕ್ರಮ ಕಾಪಾಡಿಕೊಳ್ಳಿ","ప్రేరకాలను నివారించండి, తగినంత నీరు తాగండి, నిద్ర క్రమాన్ని పాటించండి","ट्रिगर्स से बचें, हाइड्रेटेड रहें, नींद का रुटीन बनाए रखें"
20,Common Cold,ಸಾಮಾನ್ಯ ಶೀತ,జలుబు,सर्दी-जुकाम,"Sneezing, sore throat, cough, runny nose","ಸೀನುವುದು, ಗಂಟಲು ನೋವು, ಕೆಮ್ಮು, ಮೂಗು ಸೋರುವುದು","తుమ్ములు, గొంతు నొప్పి, దగ్గు, ముక్కు కారడం","छींक आना, गले में खराश, खांसी, बहती नाक","Hand washing, avoid close contact, boost immunity","ಕೈ ತೊಳೆಯಿರಿ, ನಿಕಟ ಸಂಪರ್ಕ ತಪ್ಪಿಸಿ, ರೋಗನಿರೋಧಕ ಶಕ್ತಿ ಹೆಚ್ಚಿಸಿ","చేతులు కడుక్కోండి, దగ్గరి పరిచయాన్ని నివారించండి, రోగనిరోధక శక్తిని పెంచుకోండి","हाथ धोना, करीबी संपर्क से बचें, इम्युनिटी बढ़ाएं"
